Dışa Aktarım Tarihi:,16.06.2026 19:31:42
Toplam Kayıt Sayısı:,24155

Fon Kodu,Fon Adı,Tarih,Fiyat,Tedavüldeki Pay Sayısı,Kişi Sayısı,Fon Toplam Değer
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,01.06.2026,"0,306828",2490436466.00,26759,"764135548,43"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,01.06.2026,"0,991478",21915994421.00,143078,"21729229349,04"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,01.06.2026,"0,560659",2159814357.00,15150,"1210920303,14"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,01.06.2026,"8,837461",11117194.00,2451,"98247771,97"
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,01.06.2026,"9,900344",21370610.00,15,"211576383,14"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),01.06.2026,"36,345523",3826418.00,2611,"139073163,43"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,01.06.2026,"66,578574",432531.00,104,"28797297,01"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,01.06.2026,"10,502947",20873516.00,582,"219233426,32"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,01.06.2026,"20,244329",5991391.00,168,"121291693,26"
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,01.06.2026,"27,669622",23436880.00,12,"648489609,89"
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,01.06.2026,"1,143938",58917877.00,18,"67398369,52"
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"17,281109",9643754.00,4,"166654762,21"
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"90,171162",4091000.00,3,"368890223,50"
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"25,068031",2162287.00,1,"54204278,38"
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,01.06.2026,"154,870114",8812765.00,2,"1364833919,65"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,01.06.2026,"0,098554",123266332516.00,14064,"12148410362,24"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),01.06.2026,"1,239612",16124725.00,96,"19988409,12"
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,01.06.2026,"59,846153",88330685.00,1020,"5286251728,38"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,01.06.2026,"61,075071",2225047.00,133,"135894902,44"
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,01.06.2026,"60,850327",84369574.00,1437,"5133916145,21"
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,01.06.2026,"58,889444",9464115.00,345,"557336467,58"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,01.06.2026,"0,500466",376248072.00,9320,"188299381,70"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"51,76232",162682179.00,22049,"8420806956,48"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,01.06.2026,"0,492199",2098102207.00,13742,"1032683133,81"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"0,892042",2348824595.00,17388,"2095249513,88"
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,01.06.2026,"3,667499",318546011.00,12,"1168267142,50"
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,01.06.2026,"51,230181",290817682.00,2440,"14898642395,06"
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,01.06.2026,"3,587133",1426593054.00,12,"5117378588,82"
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,01.06.2026,"3,464887",2221886132.00,114,"7698583765,22"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),01.06.2026,"0,354267",5472765770.00,26592,"1938822425,82"
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,01.06.2026,"12,391542",5982019753.00,137262,"74126447630,08"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,01.06.2026,"101,5889",11039135.25,2494,"1121453610,06"
